"","Var1","Var2","theta[feasible_index]","KLD.results$KLD$Men_KLD","KLD.results$KLD$Women_KLD","KLD.results$KLD$Pop_KLD","KLD.results$pop_variance"
"352",0.02,0.65,0.0666666666666667,0.00192453516682924,-0.000868309938025263,0.00105622522880398,0.99553845668081
"353",0.03,0.65,0.1,8.16819350587364e-05,0.00155172160385708,0.00163340353891582,0.958181950474933
"354",0.04,0.65,0.133333333333333,0.00536243119988013,0.0136993845383971,0.0190618157382773,1.07522607310085
"355",0.05,0.65,0.166666666666667,0.000367639687946823,0.00165622580192234,0.00202386548986916,0.932891570464839
"356",0.06,0.65,0.2,0.0036162233130274,0.000141121686264655,0.00375734499929206,1.01119289575362
"357",0.07,0.65,0.233333333333333,8.4729274511233e-05,0.00141083744856051,0.00149556672307175,0.988166817775488
"358",0.08,0.65,0.266666666666667,0.0116042836820442,0.00177371449384732,0.0133779981758915,1.03070608746756
"359",0.09,0.65,0.3,0.00378374386844954,0.00666170145744462,0.0104454453258942,1.0267466607852
"360",0.1,0.65,0.333333333333333,0.000404343965490619,0.00835356536441828,0.0087579093299089,0.991081863278179
"361",0.11,0.65,0.366666666666667,0.00631859897250669,0.0060721130103481,0.0123907119828548,1.00872975953979
"362",0.12,0.65,0.4,2.66142171274805e-05,0.00242649084080177,0.00245310505792925,0.966855052420498
"363",0.13,0.65,0.433333333333333,0.0193564003585483,0.00465569066594668,0.024012091024495,1.01953638752116
"364",0.14,0.65,0.466666666666667,0.0201405666907709,0.0172724833915858,0.0374130500823567,1.05003437729702
"365",0.15,0.65,0.5,0.00373669422182935,0.0152652423103613,0.0190019365321906,0.988034373910457
"366",0.16,0.65,0.533333333333333,0.00369553429723511,0.0123658329787864,0.0160613672760215,0.956214812062002
"367",0.17,0.65,0.566666666666667,0.0311826876700746,0.00906234720499953,0.0402450348750742,0.989435366445158
"368",0.18,0.65,0.6,0.0254154344106358,0.0207903388919634,0.0462057733025992,1.03974670577067
"369",0.19,0.65,0.633333333333333,0.0165836662407763,0.059115907139409,0.0756995733801853,1.00914516573969
"370",0.2,0.65,0.666666666666667,0.049676101071725,0.0363759719085604,0.0860520729802855,0.989763448182086
"371",0.21,0.65,0.7,0.0858480601125228,0.0610076074755261,0.146855667588049,1.03998851428982
"372",0.22,0.65,0.733333333333333,0.100200204541288,0.107005479688,0.207205684229289,1.03434183647816
"373",0.23,0.65,0.766666666666667,0.158239589535945,0.159771776221459,0.318011365757404,1.01258550805112
"374",0.24,0.65,0.8,0.250829281776175,0.24396890244065,0.494798184216825,0.955570934052548
"375",0.25,0.65,0.833333333333333,0.394168519171631,0.394764965705217,0.788933484876848,0.981485707686519
"376",0.01,0.66,0.03125,0.000150939758232764,0.00452915780020852,0.00468009755844129,0.957925817979103
"377",0.02,0.66,0.0625,0.0024365195191887,0.00431756962844541,0.00675408914763412,0.930166824112639
"378",0.03,0.66,0.09375,0.00846557579924982,3.05369128879773e-06,0.00846862949053862,1.04269555487944
"379",0.04,0.66,0.125,-7.32301428615202e-06,-0.000177074969743224,-0.000184397984029376,0.992530640110339
"380",0.05,0.66,0.15625,0.00142422056523864,0.000182582745161952,0.00160680331040059,1.01165112215456
"381",0.06,0.66,0.1875,0.00262092492092419,0.00889489021173188,0.0115158151326561,0.950531562715253
"382",0.07,0.66,0.21875,0.000339776634232995,0.00282326910956803,0.00316304574380102,0.956681110385884
"383",0.08,0.66,0.25,0.00280411150364396,-9.71993809083997e-05,0.00270691212273556,0.937758047150204
"384",0.09,0.66,0.28125,0.00480877352806215,0.00878771905796613,0.0135964925860283,1.04803375495776
"385",0.1,0.66,0.3125,0.000647859834162265,0.000762462956675939,0.0014103227908382,0.968510376994951
"386",0.11,0.66,0.34375,0.000904201000580102,0.00634217554083485,0.00724637654141496,0.988435949031387
"387",0.12,0.66,0.375,0.00208483990839001,0.0102508558647394,0.0123356957731294,1.00494916413299
"388",0.13,0.66,0.40625,0.00119109149704058,0.014216092477888,0.0154071839749286,1.01948445507711
"389",0.14,0.66,0.4375,0.0152036528358034,0.0212240758959244,0.0364277287317278,1.04946083013653
"390",0.15,0.66,0.46875,0.0298431704415359,0.00736813242964685,0.0372113028711827,1.0473675179452
"391",0.16,0.66,0.5,0.0167832842715315,0.0117685481336362,0.0285518324051678,1.02528886537849
"392",0.17,0.66,0.53125,0.0150896393292411,0.0164053288528043,0.0314949681820454,1.00963223396707
"393",0.18,0.66,0.5625,0.0067438782768007,0.0146938561902238,0.0214377344670245,0.951472022385472
"394",0.19,0.66,0.59375,0.01664083558163,0.0123103793583304,0.0289512149399604,0.965822436089023
"395",0.2,0.66,0.625,0.0321145457403355,0.0165705964688357,0.0486851422091712,0.993580364777128
"396",0.21,0.66,0.65625,0.0253680468990845,0.0360000779648124,0.0613681248638969,0.961508725597685
"397",0.22,0.66,0.6875,0.0506791519246386,0.0675462447511235,0.118225396675762,1.0081590481326
"398",0.23,0.66,0.71875,0.0765465814022734,0.0791031425663073,0.155649723968581,1.00320222891309
"399",0.24,0.66,0.75,0.127660490176601,0.122546619502842,0.250207109679443,1.00551385282986
"400",0.25,0.66,0.78125,0.198626895523233,0.190388692316892,0.389015587840125,0.986731034085427
"401",0.01,0.67,0.0294117647058823,0.00270490941035213,0.00340675067269978,0.00611166008305191,1.04004465070815
"402",0.02,0.67,0.0588235294117647,0.00126407106138102,0.00555205969129944,0.00681613075268046,1.00449870987224
"403",0.03,0.67,0.088235294117647,-0.000968335067561382,0.00224202395536095,0.00127368888779957,0.970197759394163
"404",0.04,0.67,0.117647058823529,0.00299321508646915,0.000521012095339668,0.00351422718180882,0.987045814783362
"405",0.05,0.67,0.147058823529412,0.000359559212179362,-3.07984442194077e-05,0.000328760767959954,0.991015477528936
"406",0.06,0.67,0.176470588235294,-0.00178566379561426,0.0250657750586858,0.0232801112630716,1.04081518694439
"407",0.07,0.67,0.205882352941176,0.000516246875139036,0.000144876025138013,0.00066112290027705,0.998081626579157
"408",0.08,0.67,0.235294117647059,0.0266031820219111,0.000116138597050389,0.0267193206189615,1.06003178560889
"409",0.09,0.67,0.264705882352941,0.00256942689248383,0.0057317943461892,0.00830122123867303,0.969188885322896
"410",0.1,0.67,0.294117647058823,0.0015869607899018,0.00754352112538375,0.00913048191528556,1.01847063552966
"411",0.11,0.67,0.323529411764706,0.00777569073885048,8.01387982318949e-05,0.00785582953708238,0.985616743502866
"412",0.12,0.67,0.352941176470588,0.000427345846539427,0.0112712851320568,0.0116986309785962,0.995897630823939
"413",0.13,0.67,0.382352941176471,0.0127995979688761,0.00801847714077035,0.0208180751096465,1.02510584255461
"414",0.14,0.67,0.411764705882353,0.0165511785992433,0.00192866240055925,0.0184798409998025,1.00808674809994
"415",0.15,0.67,0.441176470588235,0.0233844485469437,0.013719419555758,0.0371038681027017,1.06044668205017
"416",0.16,0.67,0.470588235294118,0.0136021477902146,0.00493073913438464,0.0185328869245992,0.982930756348597
"417",0.17,0.67,0.5,0.0131811307355489,0.00435961051982176,0.0175407412553707,0.969765959860963
"418",0.18,0.67,0.529411764705882,0.028161629271603,0.0277496645957835,0.0559112938673866,1.03787686183375
"419",0.19,0.67,0.558823529411765,0.011645927469891,0.0290538699682089,0.0406997974380999,1.01965687684465
"420",0.2,0.67,0.588235294117647,0.0343500430978107,0.0139920244265189,0.0483420675243297,1.01557845052181
"421",0.21,0.67,0.617647058823529,0.0151525246274634,0.0246962651806019,0.0398487898080652,0.960959638950126
"422",0.22,0.67,0.647058823529412,0.0385112649317963,0.0318037822003156,0.0703150471321118,1.0019731597308
"423",0.23,0.67,0.676470588235294,0.0478640263082998,0.0715952739502191,0.119459300258519,1.01606102175087
"424",0.24,0.67,0.705882352941176,0.0571573683171376,0.0710318096028164,0.128189177919954,0.93118437174207
"425",0.25,0.67,0.735294117647059,0.0879842324268406,0.105662291086477,0.193646523513318,0.971182117396838
"426",0.01,0.68,0.0277777777777778,0.00133985064676545,0.00373676266520478,0.00507661331197023,1.00092785410204
"427",0.02,0.68,0.0555555555555555,-0.00022605882810281,0.00404922718529477,0.00382316835719196,1.02342133147956
"428",0.03,0.68,0.0833333333333333,0.000396639224578131,-0.000170399900860784,0.000226239323717347,0.996938550264132
"429",0.04,0.68,0.111111111111111,0.0064144940942857,0.00109989524669873,0.00751438934098443,1.04101786804835
"430",0.05,0.68,0.138888888888889,0.000120062801959385,-2.63119417657043e-05,9.37508601936803e-05,0.971269480351108
"431",0.06,0.68,0.166666666666667,0.000697419225072169,0.00546170172859644,0.00615912095366861,0.954835236397284
"432",0.07,0.68,0.194444444444444,0.00351339083817596,0.0101479402038593,0.0136613310420353,0.889932716917759
"433",0.08,0.68,0.222222222222222,0.0126773740553558,0.0110476450478728,0.0237250191032286,1.09466328785926
"434",0.09,0.68,0.25,3.0259949611328e-05,0.00670170825070163,0.00673196820031296,1.01177180830664
